Name,County,geoid,Population,Median Age,Household Income,Per Capita Income,Unemployment Count,Poverty Count,Poverty_Rate,State,abbr,Unemployment Rate,Unemployment_Rate
"Sioux County, Nebraska",Sioux County,31165,1256,51.6,45375,26852,0,156,12.42038217,Nebraska,NE,0,0
"Burt County, Nebraska",Burt County,31021,6546,46.6,50174,26421,110,791,12.08371525,Nebraska,NE,0.016804155,1.680415521
"Cass County, Nebraska",Cass County,31025,25513,41.9,68284,32509,387,1584,6.208599537,Nebraska,NE,0.015168738,1.516873751
"Cuming County, Nebraska",Cuming County,31039,9039,44,50734,28762,129,705,7.799535347,Nebraska,NE,0.01427149,1.427149021
"Dixon County, Nebraska",Dixon County,31051,5765,42.2,57036,26094,102,585,10.14744146,Nebraska,NE,0.017692975,1.769297485
"Dundy County, Nebraska",Dundy County,31057,2017,43.6,44653,26949,35,208,10.31234507,Nebraska,NE,0.017352504,1.735250372
"Grant County, Nebraska",Grant County,31075,682,48.6,45833,22693,16,138,20.23460411,Nebraska,NE,0.023460411,2.346041056
"Greeley County, Nebraska",Greeley County,31077,2436,45.9,47218,25544,21,236,9.688013136,Nebraska,NE,0.00862069,0.862068966
"Hall County, Nebraska",Hall County,31079,61233,35.8,53807,26419,1814,8133,13.28205379,Nebraska,NE,0.029624549,2.962454885
"Hayes County, Nebraska",Hayes County,31085,957,42.7,44946,27183,8,86,8.986415883,Nebraska,NE,0.008359457,0.835945664
"Otoe County, Nebraska",Otoe County,31131,15875,41.7,54605,28567,254,1555,9.795275591,Nebraska,NE,0.016,1.6
"Red Willow County, Nebraska",Red Willow County,31145,10870,40.8,42882,25006,290,1220,11.22355106,Nebraska,NE,0.026678933,2.667893284
"Cedar County, Nebraska",Cedar County,31027,8561,44.1,57208,29694,76,810,9.461511506,Nebraska,NE,0.008877468,0.887746759
"Dawes County, Nebraska",Dawes County,31045,8972,34,46146,24811,45,1129,12.5835934,Nebraska,NE,0.005015604,0.50156041
"Johnson County, Nebraska",Johnson County,31097,5200,41.1,49564,22398,44,405,7.788461538,Nebraska,NE,0.008461538,0.846153846
"Cheyenne County, Nebraska",Cheyenne County,31033,10012,40.7,58770,32995,142,1078,10.7670795,Nebraska,NE,0.01418298,1.418298042
"Dawson County, Nebraska",Dawson County,31047,23925,35.8,51238,24912,533,3214,13.43364681,Nebraska,NE,0.022277952,2.227795193
"Garfield County, Nebraska",Garfield County,31071,1958,51.4,46509,25856,19,137,6.996935649,Nebraska,NE,0.009703779,0.970377937
"McPherson County, Nebraska",McPherson County,31117,432,48.5,60714,27241,0,69,15.97222222,Nebraska,NE,0,0
"Nance County, Nebraska",Nance County,31125,3569,45.4,45428,26852,36,405,11.34771645,Nebraska,NE,0.010086859,1.008685906
"Pawnee County, Nebraska",Pawnee County,31133,2704,50.1,42176,27196,33,546,20.19230769,Nebraska,NE,0.012204142,1.220414201
"Stanton County, Nebraska",Stanton County,31167,6020,41,57534,29517,101,568,9.435215947,Nebraska,NE,0.016777409,1.677740864
"Valley County, Nebraska",Valley County,31175,4252,46,50270,27271,36,482,11.33584196,Nebraska,NE,0.008466604,0.846660395
"Wheeler County, Nebraska",Wheeler County,31183,846,50.2,49706,28257,2,22,2.600472813,Nebraska,NE,0.002364066,0.236406619
"Harlan County, Nebraska",Harlan County,31083,3469,49.5,46750,26375,33,441,12.71259729,Nebraska,NE,0.009512828,0.95128279
"York County, Nebraska",York County,31185,13832,40.9,59966,28298,172,1253,9.058704453,Nebraska,NE,0.012434933,1.243493349
"Blaine County, Nebraska",Blaine County,31009,502,46.8,52000,28503,3,49,9.760956175,Nebraska,NE,0.005976096,0.597609562
"Buffalo County, Nebraska",Buffalo County,31019,48834,32.9,55053,28553,872,6669,13.65646885,Nebraska,NE,0.017856412,1.785641152
"Colfax County, Nebraska",Colfax County,31037,10616,33.7,54876,23393,193,849,7.997362472,Nebraska,NE,0.018180106,1.81801055
"Deuel County, Nebraska",Deuel County,31049,1901,46.1,53438,28225,43,207,10.88900579,Nebraska,NE,0.022619674,2.261967386
"Hitchcock County, Nebraska",Hitchcock County,31087,2860,47.1,41582,25290,43,398,13.91608392,Nebraska,NE,0.015034965,1.503496503
"Logan County, Nebraska",Logan County,31113,919,38.9,50278,24624,5,88,9.57562568,Nebraska,NE,0.005440696,0.544069641
"Platte County, Nebraska",Platte County,31141,32875,38.3,58679,28187,711,2777,8.447148289,Nebraska,NE,0.021627376,2.162737643
"Polk County, Nebraska",Polk County,31143,5244,45.5,63667,32424,131,389,7.418001526,Nebraska,NE,0.024980931,2.498093059
"Thayer County, Nebraska",Thayer County,31169,5133,48.2,48151,31129,31,545,10.61757257,Nebraska,NE,0.006039353,0.60393532
"Box Butte County, Nebraska",Box Butte County,31013,11200,40.5,56328,28483,295,1195,10.66964286,Nebraska,NE,0.026339286,2.633928571
"Brown County, Nebraska",Brown County,31017,3058,48.9,42773,29664,9,480,15.69653368,Nebraska,NE,0.0029431,0.294310007
"Adams County, Nebraska",Adams County,31001,31564,37.9,51721,28085,689,3698,11.71587885,Nebraska,NE,0.021828666,2.182866557
"Sheridan County, Nebraska",Sheridan County,31161,5241,46.1,41209,25817,41,816,15.5695478,Nebraska,NE,0.007822935,0.782293455
"Lancaster County, Nebraska",Lancaster County,31109,306357,33.2,55747,29901,6713,40887,13.34619415,Nebraska,NE,0.021912344,2.19123441
"Boone County, Nebraska",Boone County,31011,5357,45,53854,28861,49,381,7.112189658,Nebraska,NE,0.009146911,0.914691058
"Nuckolls County, Nebraska",Nuckolls County,31129,4318,49.4,42055,24426,39,451,10.4446503,Nebraska,NE,0.009031959,0.903195924
"Rock County, Nebraska",Rock County,31149,1381,51.9,52361,33867,11,128,9.268645909,Nebraska,NE,0.007965243,0.796524258
"Banner County, Nebraska",Banner County,31007,728,48.1,55000,30736,13,65,8.928571429,Nebraska,NE,0.017857143,1.785714286
"Frontier County, Nebraska",Frontier County,31063,2624,45.5,52090,27900,42,270,10.28963415,Nebraska,NE,0.016006098,1.600609756
"Sherman County, Nebraska",Sherman County,31163,3048,49.3,48704,27983,26,318,10.43307087,Nebraska,NE,0.008530184,0.853018373
"Douglas County, Nebraska",Douglas County,31055,549706,34.3,58640,32023,13164,72562,13.20014699,Nebraska,NE,0.023947346,2.39473464
"Richardson County, Nebraska",Richardson County,31147,8045,47.6,46839,28109,163,1289,16.02237415,Nebraska,NE,0.020261032,2.02610317
"Howard County, Nebraska",Howard County,31093,6385,43.3,53648,26734,139,646,10.1174628,Nebraska,NE,0.021769773,2.176977291
"Holt County, Nebraska",Holt County,31089,10293,44.1,52050,27858,62,899,8.73409113,Nebraska,NE,0.006023511,0.602351112
"Furnas County, Nebraska",Furnas County,31065,4814,46.1,43400,24522,62,636,13.21146656,Nebraska,NE,0.012879103,1.287910262
"Gosper County, Nebraska",Gosper County,31073,2019,49.5,61769,31901,54,113,5.596830114,Nebraska,NE,0.026745914,2.674591382
"Saline County, Nebraska",Saline County,31151,14325,36,50932,22324,206,1544,10.77835951,Nebraska,NE,0.014380454,1.438045375
"Sarpy County, Nebraska",Sarpy County,31153,175188,34.2,75752,33103,3168,9155,5.225814554,Nebraska,NE,0.01808343,1.808343037
"Thurston County, Nebraska",Thurston County,31173,7055,28.1,44701,19380,473,2124,30.10630758,Nebraska,NE,0.067044649,6.704464918
"Washington County, Nebraska",Washington County,31177,20414,41.2,66485,33136,188,1959,9.596355442,Nebraska,NE,0.009209366,0.920936612
"Boyd County, Nebraska",Boyd County,31015,2049,52.1,48750,26413,17,197,9.614446071,Nebraska,NE,0.00829673,0.829673011
"Cherry County, Nebraska",Cherry County,31031,5792,43.8,53226,27891,87,515,8.891574586,Nebraska,NE,0.015020718,1.502071823
"Dodge County, Nebraska",Dodge County,31053,36576,39.1,51748,27162,860,4677,12.78707349,Nebraska,NE,0.023512686,2.351268591
"Fillmore County, Nebraska",Fillmore County,31059,5603,47.5,56750,30874,73,531,9.477065858,Nebraska,NE,0.013028735,1.302873461
"Cheshire County, New Hampshire",Cheshire County,33005,76109,42.5,60148,32072,1883,7297,9.587565203,New Hampshire,NH,0.024740832,2.474083223
"Merrimack County, New Hampshire",Merrimack County,33013,147958,42.8,69856,34475,3239,10899,7.36627962,New Hampshire,NH,0.021891348,2.189134754
"Grafton County, New Hampshire",Grafton County,33009,89280,42.9,61036,35255,1934,8993,10.07280466,New Hampshire,NH,0.021662186,2.166218638
"Rockingham County, New Hampshire",Rockingham County,33015,302479,44.1,85619,43474,7729,14402,4.761322274,New Hampshire,NH,0.025552187,2.555218709
"Belknap County, New Hampshire",Belknap County,33001,60383,46.7,65834,33849,1589,5421,8.977692397,New Hampshire,NH,0.026315354,2.631535366
"Sullivan County, New Hampshire",Sullivan County,33019,43073,46.1,59419,31301,837,3953,9.177442946,New Hampshire,NH,0.019432127,1.943212685
"Hillsborough County, New Hampshire",Hillsborough County,33011,406371,40.5,75777,37622,11063,34076,8.38544089,New Hampshire,NH,0.027223891,2.722389147
"Strafford County, New Hampshire",Strafford County,33017,126552,37,67805,32540,3189,11127,8.79243315,New Hampshire,NH,0.025199128,2.519912763
"Coos County, New Hampshire",Coos County,33007,32119,48,45386,25895,957,3989,12.41944021,New Hampshire,NH,0.029795448,2.979544818
"Carroll County, New Hampshire",Carroll County,33003,47524,51.4,58139,35646,1146,4313,9.075414527,New Hampshire,NH,0.024114132,2.411413181
"Churchill County, Nevada",Churchill County,32001,24022,38.9,46914,25211,783,3245,13.50845059,Nevada,NV,0.032595121,3.259512114
"Douglas County, Nevada",Douglas County,32005,47632,50.8,61176,35727,1362,4647,9.756046355,Nevada,NV,0.028594222,2.859422237
"Lander County, Nevada",Lander County,32015,5887,37.8,79865,30256,222,769,13.06268048,Nevada,NV,0.037710209,3.771020893
"Pershing County, Nevada",Pershing County,32027,6661,43.1,52308,19201,96,709,10.64404744,Nevada,NV,0.01441225,1.441225041
"Esmeralda County, Nevada",Esmeralda County,32009,1102,48,39405,23755,18,75,6.805807623,Nevada,NV,0.016333938,1.633393829
"Eureka County, Nevada",Eureka County,32011,1728,47.3,67159,35606,0,173,10.01157407,Nevada,NV,0,0
"Humboldt County, Nevada",Humboldt County,32013,17088,35.6,69324,29215,660,1535,8.982911985,Nevada,NV,0.038623596,3.862359551
"Mineral County, Nevada",Mineral County,32021,4471,46.7,39375,22791,436,894,19.99552673,Nevada,NV,0.097517334,9.751733393
"White Pine County, Nevada",White Pine County,32033,9858,39.4,60358,25350,234,1092,11.07729763,Nevada,NV,0.023737066,2.373706634
"Elko County, Nevada",Elko County,32007,52377,34.1,76178,32498,1220,5931,11.3236726,Nevada,NV,0.023292667,2.329266663
"Lincoln County, Nevada",Lincoln County,32017,5203,41.6,52971,27218,183,568,10.91677878,Nevada,NV,0.035172016,3.517201614
"Nye County, Nevada",Nye County,32023,43296,51.6,44225,23740,1876,7388,17.063932,Nevada,NV,0.043329638,4.332963784
"Storey County, Nevada",Storey County,32029,3891,54.7,63607,36388,78,300,7.710100231,Nevada,NV,0.020046261,2.00462606
"Washoe County, Nevada",Washoe County,32031,445551,38,58595,31879,15966,58642,13.16168071,Nevada,NV,0.035834282,3.58342816
"Clark County, Nevada",Clark County,32003,2112436,36.9,54882,27719,88841,304449,14.41222361,Nevada,NV,0.042056185,4.205618537
"Carson City, Nevada",Carson City,32510,54219,43,49341,28044,2036,7698,14.19797488,Nevada,NV,0.037551412,3.755141187
"Lyon County, Nevada",Lyon County,32019,52303,43.8,50920,25063,2274,7148,13.66652008,Nevada,NV,0.04347743,4.347742959
"Monmouth County, New Jersey",Monmouth County,34025,627551,42.8,91807,46736,19969,47055,7.498195366,New Jersey,NJ,0.031820521,3.182052136
"Mercer County, New Jersey",Mercer County,34021,373362,38.6,77027,40064,14700,40450,10.83398953,New Jersey,NJ,0.039371977,3.937197679
"Sussex County, New Jersey",Sussex County,34037,143570,44.1,89238,41272,5148,7573,5.274778854,New Jersey,NJ,0.035857073,3.58570732
"Cumberland County, New Jersey",Cumberland County,34011,154952,36.8,50000,23012,6190,26781,17.2834168,New Jersey,NJ,0.039947855,3.994785482
"Somerset County, New Jersey",Somerset County,34035,333316,41.3,106046,51923,8958,15745,4.723745635,New Jersey,NJ,0.026875398,2.687539752
"Essex County, New Jersey",Essex County,34013,800401,37.3,57365,35133,43378,130583,16.31469726,New Jersey,NJ,0.054195335,5.419533459
"Ocean County, New Jersey",Ocean County,34029,589699,42.9,65771,33312,18085,63181,10.71411008,New Jersey,NJ,0.030668188,3.066818835
"Atlantic County, New Jersey",Atlantic County,34001,272926,41.1,57514,29941,15630,40750,14.9307871,New Jersey,NJ,0.057268271,5.726827052
"Gloucester County, New Jersey",Gloucester County,34015,291372,39.9,81489,36205,11715,22815,7.83019645,New Jersey,NJ,0.040206334,4.020633417
"Middlesex County, New Jersey",Middlesex County,34023,837288,38.1,83133,36558,27728,69297,8.276363688,New Jersey,NJ,0.033116443,3.311644261
"Salem County, New Jersey",Salem County,34033,63776,41.9,63934,31681,2547,8860,13.89237331,New Jersey,NJ,0.039936653,3.993665329
"Passaic County, New Jersey",Passaic County,34031,510563,36.7,63339,29393,15164,85639,16.77344422,New Jersey,NJ,0.029700546,2.970054626
"Cape May County, New Jersey",Cape May County,34009,94549,48.7,62332,36256,3879,9796,10.36076532,New Jersey,NJ,0.041026346,4.102634613
"Camden County, New Jersey",Camden County,34007,510996,38.5,65037,32931,21153,65858,12.88816351,New Jersey,NJ,0.041395627,4.139562736
"Bergen County, New Jersey",Bergen County,34003,937920,41.6,91572,46601,26130,66918,7.134723644,New Jersey,NJ,0.027859519,2.785951894
"Union County, New Jersey",Union County,34039,557320,38.3,73376,38163,22164,56826,10.19629656,New Jersey,NJ,0.039768894,3.976889399
"Warren County, New Jersey",Warren County,34041,107088,43.5,75500,37001,4364,8602,8.032646048,New Jersey,NJ,0.040751531,4.075153145
"Hudson County, New Jersey",Hudson County,34017,679756,34.9,62681,35910,27161,115254,16.95520157,New Jersey,NJ,0.039956985,3.995698457
"Hunterdon County, New Jersey",Hunterdon County,34019,125717,45.9,110969,54200,3073,5403,4.297748117,New Jersey,NJ,0.02444379,2.444379042
"Burlington County, New Jersey",Burlington County,34005,449192,41.4,82839,39528,16691,28066,6.248107713,New Jersey,NJ,0.03715783,3.715783006
"Morris County, New Jersey",Morris County,34027,498847,42.3,107034,53491,14340,22800,4.570539664,New Jersey,NJ,0.028746289,2.874628894
"San Juan County, New Mexico",San Juan County,35045,128221,34.6,49686,22665,5429,26248,20.4709057,New Mexico,NM,0.042340958,4.234095819
"Quay County, New Mexico",Quay County,35037,8447,46.1,26663,18220,126,1805,21.36853321,New Mexico,NM,0.014916538,1.491653842
"Lincoln County, New Mexico",Lincoln County,35027,19497,50.9,42145,26820,385,2987,15.32030569,New Mexico,NM,0.019746628,1.974662769
"Chaves County, New Mexico",Chaves County,35005,65454,35.3,42177,21177,1798,13488,20.60683839,New Mexico,NM,0.027469673,2.746967336
"Lea County, New Mexico",Lea County,35025,69505,31.7,59285,24507,1888,10794,15.529818,New Mexico,NM,0.027163513,2.716351342
"Santa Fe County, New Mexico",Santa Fe County,35049,147514,45.3,57945,35801,4064,20817,14.11188091,New Mexico,NM,0.027549927,2.754992746
"Union County, New Mexico",Union County,35059,4216,40.2,38240,23180,39,508,12.04933586,New Mexico,NM,0.009250474,0.925047438
"Sierra County, New Mexico",Sierra County,35051,11254,55.9,29690,22749,480,2322,20.63266394,New Mexico,NM,0.042651502,4.265150169
"Socorro County, New Mexico",Socorro County,35053,17098,40,34008,17017,256,4411,25.79833899,New Mexico,NM,0.014972511,1.49725114
"Roosevelt County, New Mexico",Roosevelt County,35041,19313,29.7,35928,18954,916,4974,25.75467302,New Mexico,NM,0.047429193,4.742919277
"Los Alamos County, New Mexico",Los Alamos County,35028,18031,43,110190,52125,354,920,5.102323776,New Mexico,NM,0.019632855,1.963285453
"Rio Arriba County, New Mexico",Rio Arriba County,35039,39455,40.7,33422,19602,1347,10338,26.20200228,New Mexico,NM,0.03414016,3.414015968
"San Miguel County, New Mexico",San Miguel County,35047,28203,42.9,29168,18012,520,8267,29.31248449,New Mexico,NM,0.018437755,1.843775485
"Otero County, New Mexico",Otero County,35035,65130,35.6,43533,21876,2430,13183,20.24105635,New Mexico,NM,0.037309995,3.730999539
"Valencia County, New Mexico",Valencia County,35061,75845,39,43428,20572,2837,16266,21.44637089,New Mexico,NM,0.037405234,3.740523436
"Torrance County, New Mexico",Torrance County,35057,15534,44,35543,19129,450,4031,25.94953006,New Mexico,NM,0.028968714,2.896871379
"Bernalillo County, New Mexico",Bernalillo County,35001,674855,37.1,50386,28340,22382,119697,17.73669899,New Mexico,NM,0.033165643,3.316564299
"Cibola County, New Mexico",Cibola County,35006,27049,36.4,36089,17768,1823,7201,26.62205627,New Mexico,NM,0.067396207,6.739620688
"De Baca County, New Mexico",De Baca County,35011,2016,42.6,31439,24571,48,452,22.42063492,New Mexico,NM,0.023809524,2.380952381
"Guadalupe County, New Mexico",Guadalupe County,35019,4426,41.7,26060,18086,21,492,11.11613195,New Mexico,NM,0.00474469,0.474469047
"Catron County, New Mexico",Catron County,35003,3547,60.2,42047,22487,0,761,21.45475049,New Mexico,NM,0,0
"Hidalgo County, New Mexico",Hidalgo County,35023,4446,42.6,31829,18338,160,1133,25.48358075,New Mexico,NM,0.035987404,3.598740441
"Luna County, New Mexico",Luna County,35029,24319,39,27602,16622,1020,7611,31.29651713,New Mexico,NM,0.041942514,4.194251408
"McKinley County, New Mexico",McKinley County,35031,72849,31.6,30336,14077,4465,27086,37.18101827,New Mexico,NM,0.061291164,6.129116391
"Sandoval County, New Mexico",Sandoval County,35043,138815,39.6,60345,27406,5150,20258,14.59352375,New Mexico,NM,0.037099737,3.709973706
"Taos County, New Mexico",Taos County,35055,32809,47.7,35314,23229,1473,6939,21.14968454,New Mexico,NM,0.044896218,4.48962175
"Grant County, New Mexico",Grant County,35017,28382,45.9,40470,23898,943,6101,21.4960186,New Mexico,NM,0.033225284,3.322528363
"Curry County, New Mexico",Curry County,35009,50283,30.8,41941,22628,1745,11064,22.00346041,New Mexico,NM,0.034703578,3.470357775
"Colfax County, New Mexico",Colfax County,35007,12522,48.8,33042,21785,516,2820,22.52036416,New Mexico,NM,0.041207475,4.120747484
"Eddy County, New Mexico",Eddy County,35015,56793,35.9,60703,28419,1395,8164,14.375011,New Mexico,NM,0.024562886,2.456288627
"Harding County, New Mexico",Harding County,35021,546,58.4,35096,30782,14,108,19.78021978,New Mexico,NM,0.025641026,2.564102564
"Mora County, New Mexico",Mora County,35033,4605,47,26644,16019,111,933,20.26058632,New Mexico,NM,0.024104235,2.410423453
"Schoharie County, New York",Schoharie County,36095,31611,44.1,51842,26953,1155,4186,13.24222581,New York,NY,0.036537914,3.653791402
"Bronx County, New York",Bronx County,36005,1455846,33.6,36593,19721,77907,422197,29.00011402,New York,NY,0.053513215,5.3513215
"Onondaga County, New York",Onondaga County,36067,467669,38.8,57271,31436,15253,67057,14.33855996,New York,NY,0.032614948,3.261494775
"Fulton County, New York",Fulton County,36035,53955,43.4,48033,26298,2002,8461,15.68158651,New York,NY,0.037104995,3.71049949
"Clinton County, New York",Clinton County,36019,81224,39.4,52759,25833,2213,11518,14.18053777,New York,NY,0.027245642,2.724564168
"Seneca County, New York",Seneca County,36099,34843,42.2,51601,26541,792,3752,10.76830353,New York,NY,0.022730534,2.273053411
"Rensselaer County, New York",Rensselaer County,36083,159800,39.9,63166,33067,4960,19322,12.09136421,New York,NY,0.031038798,3.10387985
"Putnam County, New York",Putnam County,36079,99464,43.8,99608,44063,2926,4719,4.744430146,New York,NY,0.029417679,2.941767876
"Franklin County, New York",Franklin County,36033,51054,40.5,50733,24294,1784,8793,17.22294042,New York,NY,0.034943393,3.494339327
"Herkimer County, New York",Herkimer County,36043,62943,43.7,49077,24932,2559,9201,14.6179877,New York,NY,0.040655831,4.065583147
"Ontario County, New York",Ontario County,36069,109491,43.4,61710,33685,2704,10343,9.44643852,New York,NY,0.024696094,2.469609374
"Queens County, New York",Queens County,36081,2339280,38.3,62008,28814,85160,317142,13.55724838,New York,NY,0.036404364,3.640436374
"Steuben County, New York",Steuben County,36101,97539,42.4,50157,27731,3235,13922,14.27326505,New York,NY,0.033166221,3.316622069
"Hamilton County, New York",Hamilton County,36041,4646,53.7,55587,24891,252,446,9.599655618,New York,NY,0.054240207,5.424020663
"Washington County, New York",Washington County,36115,62183,43.6,52527,26064,2015,7556,12.15123104,New York,NY,0.032404355,3.240435489
"Chautauqua County, New York",Chautauqua County,36013,130846,42.3,44304,23962,4695,23101,17.655106,New York,NY,0.035881876,3.58818764
"Kings County, New York",Kings County,36047,2635121,34.8,52782,29928,106976,570731,21.65862592,New York,NY,0.040596238,4.059623828
"New York County, New York",New York County,36061,1653877,37.1,79781,69529,59771,277483,16.77772894,New York,NY,0.036139931,3.61399306
"Tioga County, New York",Tioga County,36107,49322,44,57153,30252,1587,5453,11.05591825,New York,NY,0.032176311,3.217631077
"Cayuga County, New York",Cayuga County,36011,78319,42.5,54664,27957,2340,8599,10.97945582,New York,NY,0.029877807,2.987780743
"Orleans County, New York",Orleans County,36073,41584,42.8,49223,23929,1248,6169,14.8350327,New York,NY,0.030011543,3.00115429
"Saratoga County, New York",Saratoga County,36091,226632,42.3,77548,39653,5636,14681,6.477902503,New York,NY,0.024868509,2.48685093
"Rockland County, New York",Rockland County,36087,325027,36.2,88571,36898,10039,45563,14.01822002,New York,NY,0.030886665,3.08866648
"Columbia County, New York",Columbia County,36021,61481,47.4,61093,34737,1580,6806,11.07008669,New York,NY,0.025698996,2.569899644
"Lewis County, New York",Lewis County,36049,26845,41.8,51475,25779,968,3765,14.02495809,New York,NY,0.036058856,3.60588564
"Niagara County, New York",Niagara County,36063,212675,43,51656,28395,6691,28070,13.19854238,New York,NY,0.03146115,3.146114964
"Westchester County, New York",Westchester County,36119,975321,40.6,89968,52049,33102,89829,9.210198488,New York,NY,0.033939595,3.393959527
"Delaware County, New York",Delaware County,36025,45950,47,47921,26016,1515,7187,15.64091404,New York,NY,0.03297062,3.297062024
"Essex County, New York",Essex County,36031,38233,46.7,55294,29008,1252,3170,8.291266707,New York,NY,0.03274658,3.274658018
"Montgomery County, New York",Montgomery County,36057,49500,41.1,47449,25307,1740,9486,19.16363636,New York,NY,0.035151515,3.515151515
"Nassau County, New York",Nassau County,36059,1363069,41.5,105744,46839,35417,78657,5.770580946,New York,NY,0.025983277,2.598327744
"Richmond County, New York",Richmond County,36085,475948,39.9,76244,33922,12444,60735,12.76084782,New York,NY,0.026145713,2.61457134
"St. Lawrence County, New York",St. Lawrence County,36089,110817,38,48330,23554,4249,19142,17.27352302,New York,NY,0.038342493,3.834249258
"Schuyler County, New York",Schuyler County,36097,18112,45.7,47810,25285,637,2706,14.94037102,New York,NY,0.035170053,3.5170053
"Tompkins County, New York",Tompkins County,36109,104415,30.4,56200,29759,2553,18411,17.63252406,New York,NY,0.02445051,2.445050998
"Warren County, New York",Warren County,36113,64701,46.2,60222,33127,1632,6328,9.780374337,New York,NY,0.025223721,2.522372143
"Chenango County, New York",Chenango County,36017,48763,44.4,48567,25233,1555,6973,14.29977647,New York,NY,0.031888932,3.188893218
"Cortland County, New York",Cortland County,36023,48334,36.2,52451,26271,1260,6573,13.59912277,New York,NY,0.026068606,2.606860595
"Dutchess County, New York",Dutchess County,36027,295685,41.8,75585,36704,10327,25353,8.574327409,New York,NY,0.034925681,3.492568105
"Jefferson County, New York",Jefferson County,36045,116567,31.9,50322,24717,3887,16189,13.88815016,New York,NY,0.03334563,3.334562955
"Monroe County, New York",Monroe County,36055,748680,38.6,55272,31291,25916,107481,14.35606668,New York,NY,0.03461559,3.461559011
"Oneida County, New York",Oneida County,36065,232324,41,51316,27283,6562,36487,15.70522202,New York,NY,0.028245037,2.82450371
"Suffolk County, New York",Suffolk County,36103,1497595,41,92838,40277,42864,105522,7.046097243,New York,NY,0.02862189,2.862189043
"Ulster County, New York",Ulster County,36111,180129,43.6,61652,32453,6642,22682,12.59208678,New York,NY,0.036873574,3.687357394
"Wyoming County, New York",Wyoming County,36121,40886,41.8,55459,25635,1275,4267,10.43633518,New York,NY,0.031184268,3.118426845
"Chemung County, New York",Chemung County,36015,86883,41.2,51251,27209,2131,12934,14.88668669,New York,NY,0.024527238,2.452723778
"Livingston County, New York",Livingston County,36051,64373,40.4,53654,25882,1485,8497,13.19963339,New York,NY,0.023068678,2.306867786
"Oswego County, New York",Oswego County,36075,119833,39.8,51755,25791,5021,20978,17.50602922,New York,NY,0.041899977,4.189997747
"Otsego County, New York",Otsego County,36077,60750,42,51254,26688,2049,8966,14.75884774,New York,NY,0.033728395,3.372839506
"Greene County, New York",Greene County,36039,47791,45.6,53214,27402,1333,5550,11.61306522,New York,NY,0.027892281,2.789228097
"Wayne County, New York",Wayne County,36117,91442,43.6,53693,27318,2966,10541,11.52752564,New York,NY,0.032435861,3.243586098
"Albany County, New York",Albany County,36001,308580,37.8,62293,35278,8867,36325,11.77166375,New York,NY,0.02873485,2.873484996
"Allegany County, New York",Allegany County,36003,47400,38.6,45359,22377,1596,6992,14.75105485,New York,NY,0.033670886,3.367088608
"Broome County, New York",Broome County,36007,196124,39.6,49064,26790,6757,31795,16.21168241,New York,NY,0.034452693,3.445269319
"Cattaraugus County, New York",Cattaraugus County,36009,78175,41.7,45571,23984,2522,12777,16.34409978,New York,NY,0.032260953,3.226095299
"Erie County, New York",Erie County,36029,923995,40.3,54006,31083,26038,133648,14.46414753,New York,NY,0.028179806,2.817980617
"Madison County, New York",Madison County,36053,71760,41.3,58365,28010,1542,7397,10.30797101,New York,NY,0.021488294,2.148829431
"Schenectady County, New York",Schenectady County,36093,155239,39.8,61315,29981,5733,18684,12.03563538,New York,NY,0.036930153,3.693015286
"Sullivan County, New York",Sullivan County,36105,75783,42.6,53877,28224,3356,11583,15.28443055,New York,NY,0.044284338,4.428433818
"Genesee County, New York",Genesee County,36037,58537,43.2,54033,27499,1594,7362,12.57666092,New York,NY,0.02723064,2.723064045
"Yates County, New York",Yates County,36123,25083,41.7,51758,26608,725,3120,12.4387035,New York,NY,0.028904039,2.890403859
"Orange County, New York",Orange County,36071,378174,36.9,75146,32616,10376,45108,11.92784274,New York,NY,0.027437106,2.743710567
"Scotland County, North Carolina",Scotland County,37165,35445,39.3,32739,17103,1703,9815,27.69078855,North Carolina,NC,0.048046269,4.804626887
"Watauga County, North Carolina",Watauga County,37189,53421,30.6,41541,24545,2168,13556,25.37578855,North Carolina,NC,0.040583291,4.058329122
"Halifax County, North Carolina",Halifax County,37083,52300,42.7,33573,20406,2066,13607,26.01720841,North Carolina,NC,0.039502868,3.950286807
"Alamance County, North Carolina",Alamance County,37001,157844,39.7,44281,25157,4702,26996,17.10296242,North Carolina,NC,0.029788906,2.97889055
"Tyrrell County, North Carolina",Tyrrell County,37177,4090,47.1,32411,17736,144,931,22.76283619,North Carolina,NC,0.035207824,3.520782396
"Greene County, North Carolina",Greene County,37079,21059,40.4,36989,18662,843,4851,23.03528183,North Carolina,NC,0.040030391,4.003039081
"Haywood County, North Carolina",Haywood County,37087,59854,47.5,45538,27166,1372,9817,16.40157717,North Carolina,NC,0.022922445,2.292244462
"Mitchell County, North Carolina",Mitchell County,37121,15155,47.1,42534,22302,306,2263,14.93236556,North Carolina,NC,0.020191356,2.019135599
"Chowan County, North Carolina",Chowan County,37041,14370,44.7,41979,23542,738,3211,22.34516354,North Carolina,NC,0.051356994,5.135699374
"Alleghany County, North Carolina",Alleghany County,37005,10935,49.2,38944,21153,268,2266,20.72245085,North Carolina,NC,0.024508459,2.450845908
"Caldwell County, North Carolina",Caldwell County,37027,81805,44.1,40735,21991,3013,13214,16.15304688,North Carolina,NC,0.03683149,3.683148952
